,inc,restore_predicted,rise_fall,rise_fall_region,stock_id
0,0.13,15.9276060104,19,51.1295834573,002034.XSHE
1,0.11,9.27577496767,20,27.7607609227,002336.XSHE
2,0.11,4.0951845215,20,67.7793451067,600687.XSHG
3,0.11,13.6436746976,20,80.6581420556,002669.XSHE
4,0.11,8.83452243954,19,18.8793531875,600167.XSHG
5,0.11,13.6283481886,18,53.6687993647,002384.XSHE
6,0.1,10.9780494952,18,35.8124275049,002589.XSHE
7,0.1,25.6831414571,18,70.4724482634,300212.XSHE
8,0.09,36.7730730629,21,95.7474949092,000513.XSHE
9,0.09,8.82991411418,20,10.1757137231,600802.XSHG
10,0.08,11.0139843892,18,11.4214568543,002173.XSHE
11,0.08,14.6022795922,18,68.4635227745,002677.XSHE
12,0.08,5.12240916073,18,7.13956756929,600776.XSHG
13,0.07,45.4559524154,19,99.1350669076,600309.XSHG
14,0.07,10.6332444738,18,22.9305549047,002036.XSHE
15,0.07,15.8490708518,18,50.3066715471,002236.XSHE
16,0.07,21.3902172807,18,75.0289313781,000503.XSHE
17,0.07,14.3827075689,17,39.8864943252,002456.XSHE
18,0.06,6.30536960725,19,25.369936251,000669.XSHE
19,0.06,28.2055919847,19,57.9776993348,002281.XSHE
20,0.06,9.66680121124,19,31.6085321091,300091.XSHE
21,0.06,11.141953446,19,32.8165864923,000546.XSHE
22,0.06,43.2006972711,18,167.284317754,600779.XSHG
23,0.06,16.3957860565,17,45.074605933,002475.XSHE
24,0.05,7.49283928799,19,7.9634574091,600846.XSHG
25,0.05,12.882913675,19,28.7779156914,000910.XSHE
26,0.05,7.46416484594,18,16.3519800138,002199.XSHE
27,0.05,8.68012274802,18,9.63045082556,000605.XSHE
28,0.05,5.56294129193,18,8.65255852746,000046.XSHE
29,0.05,10.0330154318,18,18.2555473859,000885.XSHE
30,0.04,3.96409381673,21,4.08320231285,600281.XSHG
31,0.04,8.17910748631,20,26.5254483011,002581.XSHE
32,0.04,28.9005421393,20,66.1096732955,600729.XSHG
33,0.04,14.4575739652,20,26.9622418561,600476.XSHG
34,0.04,16.5378312951,20,41.9591124532,300174.XSHE
35,0.04,11.6177599669,19,72.3458198219,300260.XSHE
36,0.04,11.7105637193,19,23.4643984386,300059.XSHE
37,0.04,14.000984542,19,36.9785659849,000923.XSHE
38,0.04,7.09163947225,18,8.68025116983,002043.XSHE
39,0.04,3.25641559362,18,4.56195826409,002154.XSHE
40,0.04,9.77553752899,18,28.7800296472,002582.XSHE
41,0.04,12.0097999974,18,36.5284513278,300199.XSHE
42,0.04,27.8980923224,18,48.7675788519,002410.XSHE
43,0.04,10.2151934523,18,32.3337295115,000779.XSHE
44,0.04,9.36038396582,18,12.6946731375,000668.XSHE
45,0.04,9.48717323303,17,22.1330309666,000586.XSHE
46,0.04,20.783562567,17,46.7099798402,600260.XSHG
47,0.04,4.67103711449,17,5.93604713525,600247.XSHG
