MDEntryTime,CalendarDate,OpeningPx,HighPx,LowPx,ClosingPx,OpenInterest,TotalVolumeTraded,TotalTurnover,LowLimitPx,HighLimitPx,RefrencePx,BasisSpread
93100000,20161108,3209.8,3209.8,3209.8,3209.8,537,1,962940.0,2877.6,3516.8,3372.6206,-162.8206
93200000,20161108,3215.8,3215.8,3215.8,3215.8,536,1,964740.0,2877.6,3516.8,3371.7776,-155.9776
93300000,20161108,3215.8,3215.8,3215.8,3215.8,536,0,0.0,2877.6,3516.8,3369.8866,-154.0866
93400000,20161108,3215.8,3215.8,3215.8,3215.8,536,0,0.0,2877.6,3516.8,3369.6326,-153.8326
93500000,20161108,3217.6,3217.6,3217.6,3217.6,535,1,965280.0,2877.6,3516.8,3370.1556,-152.5556
93600000,20161108,3218.6,3218.6,3218.6,3218.6,535,2,1930920.0,2877.6,3516.8,3370.1786,-151.5786
93700000,20161108,3215.0,3215.0,3214.8,3214.8,535,4,3857820.0,2877.6,3516.8,3368.6136,-153.8136
93800000,20161108,3214.8,3214.8,3214.8,3214.8,535,0,0.0,2877.6,3516.8,3367.1286,-152.3286
93900000,20161108,3214.4,3214.8,3214.4,3214.8,535,2,1928760.0,2877.6,3516.8,3367.1556,-152.3556
94000000,20161108,3212.2,3214.2,3212.2,3213.8,536,4,3855780.0,2877.6,3516.8,3367.9366,-154.1366
94100000,20161108,3215.2,3215.2,3215.2,3215.2,537,2,1929120.0,2877.6,3516.8,3368.0386,-152.8386
94200000,20161108,3216.8,3217.2,3216.8,3217.2,540,3,2895300.0,2877.6,3516.8,3368.0946,-150.8946
94300000,20161108,3217.2,3217.2,3217.2,3217.2,540,0,0.0,2877.6,3516.8,3367.9696,-150.7696
94400000,20161108,3212.6,3212.6,3212.6,3212.6,539,1,963780.0,2877.6,3516.8,3367.3106,-154.7106
94500000,20161108,3212.6,3212.6,3212.6,3212.6,539,0,0.0,2877.6,3516.8,3366.2786,-153.6786
94600000,20161108,3207.6,3207.6,3207.6,3207.6,539,1,962280.0,2877.6,3516.8,3364.8616,-157.2616
94700000,20161108,3208.2,3208.2,3206.2,3206.2,540,2,1924320.0,2877.6,3516.8,3364.5916,-158.3916
94800000,20161108,3206.6,3208.2,3206.6,3208.2,541,2,1924440.0,2877.6,3516.8,3364.1186,-155.9186
94900000,20161108,3208.2,3208.2,3208.2,3208.2,541,0,0.0,2877.6,3516.8,3365.3646,-157.1646
95000000,20161108,3208.2,3208.2,3208.2,3208.2,541,0,0.0,2877.6,3516.8,3365.0106,-156.8106
